MRN,Division,Line Code,Station Name,Boro,ADA Access (YES/NO/Partial),Description of ADA Access ,1 Control Area (YES/NO),1 Control Area per Platform (NB/SB/BOTH),Control Area Closed ,Stairs Closed in Closed CA,Closed Stand Alone Stair ,1 Flight Closed,2 Flights Closed - Number denotes each stair in flight,Total Closed Street Stairs ,Other Stairs, Plat Stairs Closed (#),Passageway/Underpass/Overpass Closed,Easement Closed,Street Stair and Control Area Closures,Notes ,,,,
1,BMT,AST,Ditmars Blvd,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,Data Validation ,
2,BMT,AST,Astoria Blvd-Hoyt Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,,
3,BMT,AST,30 Av-Grand Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,Yes,NB
4,BMT,AST,Broadway,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,No,SB
5,BMT,AST,36 Av-Washington Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,,BOTH
6,BMT,AST,39 Av-Beebe Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,,
7,BMT,BWY,Lexington Av,M,,,,,,,,,,0,,,,,0,,,,,
8,BMT,BWY,5th Av,M,,,,,,,,,,0,,,,,0,,,,,
9,BMT,BWY,57th St,M,,,,,,,,,,0,,,,,0,,,,,
10,BMT,BWY,49th St,M,Partial,Uptown ,,,,,1,,,1,,,,2,1,abandoned easements - n/b at 47th St and 49th St (49 St easement  replaced with larger easement),,,,
11,BMT,BWY,Times Square-42nd St,M,,,,,,,,,,0,,,,,0,REF:MRN 467,,,,
12,BMT,BWY,34th St,M,Yes,,,,,,,1,,1,,,,1,1,slabbed over street stair - 6 Av side of SE corner of 6 Ave and 34 St,,,,
13,BMT,BWY,28th St,M,No ,,,BOTH,2,4,,,,4,,,,,6,"both platforms have closed control areas at 29 St, 2 street stairs closed per control area",,,,
14,BMT,BWY,23rd St,M,,,,,,,,,,0,,,1,,0,closed underpass between platforms,,,,
15,BMT,BWY,Union Square,M,Yes,All except Lex Platforms,,,,,1,,,1,,,,1,1,SW corner 15th & Bway - closed easement along Bway frontage,,,,
16,BMT,BWY,8th St,M,,,,,,,,,,0,,,,,0,,,,,
17,BMT,BWY,Prince St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
18,BMT,BWY,Canal St (UL),M,,,,,,,,,,0,,,,,0,,,,,
19,BMT,BWY,Canal St (LL),M,,,,,,,,,,0,,,,,0,not included:  1 abandoned plat stair per LL BWY plat to unused NAS platform,,,,
20,BMT,BWY,City Hall,M,No ,,,,,,1,,,1,,,,1,1,abandoned passageway and easement entrance through Woolworth Bldg; not included:  closed platform stairs to lower platform,,,,
21,BMT,BWY,Cortlandt St,M,,,,,,,,,,0,,,,,0,,,,,
22,BMT,BWY,Rector St,M,,,,,,,,,,0,,,,,0,,,,,
23,BMT,BWY,Whitehall St,M,,,,,,,,,,0,,,,,0,,,,,
24,BMT,BWY,Court St,BK,No ,,,,,,1,,,1,,,1,,1,abandoned passageway & street stair to NW corner of Montague & Court,,,,
25,BMT,BWY,Lawrence St,BK,,,,,,,,,,0,,,,,0,,,,,
26,BMT,4AV,DeKalb Av,BK,Yes,,,,1,1,1,,,2,,,,1,3,abandoned entrance through Dime Savings Bank bldg; 1 closed plat stair per platorm,,,,
27,BMT,4AV,Atlantic Av-Barclays Ctr,BK,Yes,,,,,,2,,,2,,,,,2,"C9 platform stairs all bunched together, closed Street Stairs at Atlantic and 4th Av (now employee space)",,,,
28,BMT,4AV,Union St,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
29,BMT,4AV,9th St,BK,,,,,,,,,,0,,,,,0,,,,,
30,BMT,4AV,Prospect Av,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
31,BMT,4AV,25th St,BK,,,,BOTH,,,,,,0,,,,,0,1 street stair per platform,,,,
32,BMT,4AV,36th St,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs bunched together,,,,
33,BMT,4AV,45th St,BK,No ,,YES,,1,1,,,,1,,1,,,2,"auxiliary s/b plat plat stair, control area and street stair south of 46 St closed; s/b plat has only 1 plat stair",,,,
34,BMT,4AV,53rd St,BK,,,,NB,,,,,,0,,,,,0,52 St s/b plat street stair HXT only;  all platform stairs come to common landing in mezzanine,,,,
35,BMT,4AV,59th St,BK,,,,,,,,,,0,,,,,0,,,,,
36,BMT,4AV,Bay Ridge Av,BK,,,,NB,,,,,,0,,,,,0,68 St s/b plat street stair HXT only;  all platform stairs come to common landing in mezzanine,,,,
37,BMT,4AV,77th St,BK,,,,NB,,,,,,0,,,,,0,76 St s/b plat street stair HXT only;  all platform stairs come to common landing in mezzanine,,,,
38,BMT,4AV,86th St,BK,,,,,,,,,,0,,,,,0,,,,,
39,BMT,4AV,95th St,BK,,,,,,,,,,0,,,,,0,,,,,
40,BMT,BRT,Atlantic Av-Barclays Ctr,BK,,,,,,,,,,0,,,,1,0,Dime Savings Bank bldg easement closed,,,,
41,BMT,BRT,7th Av,BK,No ,,Yes,,1,2,,,,2,,4,,,3,"southern B5, platform stairs and street stairs closed",,,,
42,BMT,BRT,Prospect Park,BK,,,,,,,,,,0,,,,,0,,,,,
43,BMT,BRT,Parkside Av,BK,,,,NB,,,,,,0,,,,,0,n/b platform stairs come to common landing in single mezzanine,,,,
44,BMT,BRT,Church Av,BK,Yes,,,,1,1,,,,1,,,,,2,Old exit house at SB Plat,,,,
45,BMT,BRT,Beverly Rd,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
46,BMT,BRT,Cortelyou Rd,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
47,BMT,BRT,Newkirk Av,BK,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
48,BMT,BRT,Av H,BK,,,,NB,,,,,,0,,,,,0,single plat stair to N/B platform,,,,
49,BMT,BRT,Av J,BK,,,,,,,,,,0,,,,,0,,,,,
50,BMT,BRT,Av M,BK,,,,,,,,,,0,,,,,0,,,,,
51,BMT,BRT,Kings Highway,BK,,,,,,,,,,0,,,,,0,,,,,
52,BMT,BRT,Av U,BK,No ,,Yes,,1,1,,,,1,,,,,2,"southern auxiliary stair off S/B plat closed, emergency exit only",,,,
53,BMT,BRT,Neck Rd,BK,,,Yes,,,,,,,0,,,,,0,1 stair off each platform; long control line with 3 exit locations but only 1 for entry,,,,
54,BMT,BRT,Sheepshead Bay,BK,,,,,,,,,,0,,,,,0,,,,,
55,BMT,BRT,Brighton Beach,BK,,,,,,,,,,0,,,,,0,,,,,
56,BMT,BRT,Ocean Parkway,BK,,,,,,,,,,0,,,,,0,,,,,
57,BMT,CIT,West 8th St,BK,,,,,,,,,,0,,,,,0,,,,,
58,BMT,CIT,Stillwell Av,BK,,,,,,,,,,0,,,,,0,,,,,
59,BMT,WST,9th Av,BK,,,Yes,,,,,,,0,,,,,0,not included:  closed platform stairs to lower platforms;  all platform stairs come to common landing in single mezzanine,,,,
60,BMT,WST,Fort Hamilton Parkway,BK,,,,,,,,,,0,,,,,0,,,,,
61,BMT,WST,50th St,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
62,BMT,WST,55th St,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
63,BMT,WST,62nd St,BK,,,,,,,,,,0,,,,,0,,,,,
64,BMT,WST,71st St,BK,,,,,,,,,,0,,,,,0,not included:  interior of northern auxiliary mezzanien closed off,,,,
65,BMT,WST,79th St,BK,,,,,,,,,,0,,,,,0,not included:  interior of northern auxiliary mezzanien closed off,,,,
66,BMT,WST,18th Av,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
67,BMT,WST,20th Av,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
68,BMT,WST,Bay Parkway,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
69,BMT,WST,25th Av,BK,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
70,BMT,WST,Bay 50th St,BK,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
71,BMT,SEA,8th Av,BK,No*,In progress?,Yes,,1,,,,,0,,3,,,1,7 Ave control house and plat stairs closed; s/b plat has only 1 platform stair,,,,
72,BMT,SEA,Fort Hamilton Parkway,BK,,,,,,,,,,0,,,,,0,,,,,
73,BMT,SEA,New Utrecht Av,BK,,,,,,,,,,0,,,,,0,,,,,
74,BMT,SEA,18th Av,BK,,,,,,,,,,0,,,,,0,,,,,
75,BMT,SEA,20th Av,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
76,BMT,SEA,Bay Parkway-22nd Av,BK,,,,,,,,,,0,,,,,0,,,,,
77,BMT,SEA,Kings Highway,BK,,,,,,,,,,0,,,,,0,,,,,
78,BMT,SEA,Av U,BK,,,,,,,,,,0,,,,,0,,,,,
79,BMT,SEA,86th St,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
80,BMT,BWJ,121st St,Q,,,,,,,,,,0,,,,,0,eastern 123 St mezz interior closed and its n/b plat stair exit-only,,,,
81,BMT,BWJ,111th St,Q,No,,Yes,,1,1,,,,1,,2,,,2,"eastern 113 St mezzanine, platform stairs closed; street stair removed",,,,
82,BMT,BWJ,104th St-102nd St,Q,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
83,BMT,BWJ,Woodhaven Blvd,Q,,,,,,,,,,0,,,,,0,,,,,
84,BMT,BWJ,Forest Parkway-85th St,Q,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
85,BMT,BWJ,Elderts Lane-75th St,Q,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
86,BMT,BWJ,Cypress Hills,BK,No,,,SB,,,1,,,1,,1,,,1,"eastern Autumn Ave auxiliary mezz exit-only off n/b plat and closed to s/b plat, street stair removed",,,,
87,BMT,BWJ,Crescent St,BK,,,Yes,,,,,,,0,,,,,0,"1 platform stair, street stair removed",,,,
88,BMT,BWJ,Norwood Av,BK,,,Yes,,,,,,,0,,,,,0,1 platform stair,,,,
89,BMT,BWJ,Cleveland St,BK,,,Yes,,,,,,,0,,,,,0,1 platform stair,,,,
90,BMT,BWJ,Van Siclen Av,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
91,BMT,BWJ,Alabama Av,BK,,,Yes,,,,,,,0,,,,,0,1 platform stair,,,,
92,BMT,BWJ,Broadway Junction,BK,No,,Yes,,1,2,,,,2,,2,,,3,western mezzanine off Summer St closed and street stairs removed; all platform stairs come to common landing,,,,
93,BMT,BWJ,Chauncey St,BK,No,,Yes,,1,2,,,,2,,2,,,3,eastern J018 mezz off Chauncey St closed; 1 platform stair per platform,,,,
94,BMT,BWJ,Halsey St,BK,No,,Yes,,1,2,,,,2,,2,,,3,western J015 mezz off Hancock St closed; 1 platform stair per platform,,,,
95,BMT,BWJ,Gates Av,BK,No,,Yes,,1,2,,,,2,,2,,,3,eastern J014 mezz off Gates Ave closed; 1 platform stair per platform,,,,
96,BMT,BWJ,Kosciusko St,BK,NO,,Yes,,1,2,,,,2,,2,,,3,western J011 mezz off Dekalb Ave closed; 1 platform stair per platform,,,,
97,BMT,BWJ,Myrtle Av,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
98,BMT,BWJ,Flushing Av,BK,Yes,,Yes,,1,2,,,,2,,2,,,3,eastern J008 mezz off Fayette St closed; 1 platform stair per platform,,,,
99,BMT,BWJ,Lorimer St,BK,,,,,,,,,,0,,,,,0,not included:  eastern mezz interior closed; stairs only,,,,
100,BMT,BWJ,Hewes St,BK,No,,Yes,,1,2,,,,2,,2,,,3,eastern mezz J004 off Hewes St closed; 1 platform stair per platform,,,,
101,BMT,BWJ,Marcy Av,BK,,,,,,,,,,0,,,,,0,,,,,
102,BMT,NAS,Essex St,M,No,,,,1,2,4,,,6,,2,,,7,entrances off of both platforms are closed (n/s and s/s of Delancey St),,,,
103,BMT,NAS,Bowery,M,No,,Yes,,1,2,,,,2,,4,,,3,western mezz A65 closed;  all VCEs share common landing in mezzanine; not included:  closed platform,,,,
104,BMT,NAS,Canal St,M,No,,,,2,3,,,,3,,1,,,5,"mezz on north side of Canal St closed;  not included:  abandonded platform and mezz to abandoned plat on SE side of Center and Canal, 2 closed street stairs at A068, 1 closed street stair at Mezz",,,,
105,BMT,NAS,Chambers St,M,No,,,,,,6,,,6,1,2,,1,6,"1 removed platform stair per active plat; southern mezz - 4 street stair closed; norther mezz -2 closed street stair,easement into courthouse closed",,,,
106,BMT,NAS,Fulton St,M,Yes,,Yes,NB,2,4,1,,,5,,,1,1,7,lower n/b plat:  all ways off at common central point; closed control areas at John and Ann Sts; upper s/b plat - closed control area at Beekman St,,,,
107,BMT,NAS,Broad St,M,No,,,,,,5,,,5,,,1,1,5,northen A83 Broad St underpass has abandoned street stairs and easement entrances,,,,
108,BMT,MRT,Middle Village - Metropolitan Av,Q,,,,,,,,,,0,,,,,0,,,,,
109,BMT,MRT,Fresh Pond Rd,Q,,,,,,,,,,0,,,,,0,,,,,
110,BMT,MRT,Forest Av,Q,No,,Yes,,1,2,,,,2,,1,,,3,western Madison St mezz removed; 1 platform stair,,,,
111,BMT,MRT,Seneca Av,Q,,,Yes,,,,,,,0,,,,,0,both platform stairs come to common landing in mezzanine,,,,
112,BMT,MRT,Myrtle Wyckoff Avs,BK,,,Yes,,,,,,,0,,,,,0,1 platform stair,,,,
113,BMT,MRT,Knickerbocker Av,BK,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
114,BMT,MRT,Central Av,BK,,,Yes,,,,,,,0,,,,,0,1 stair per platform,,,,
115,BMT,CNR,8th Av,M,,,,,,,,,,0,,,,,0,,,,,
116,BMT,CNR,6th Av,M,,,,,,,,,,0,,1,1,,0,Closed Passageway between 6th and 8th,,,,
117,BMT,CNR,14 St-Union Square,M,,,,,,,,,,0,,,1,,0,"Closed passageway, CNR ONLY, Easement stair closures noted at MRN 15",,,,
118,BMT,CNR,3rd Av,M,,,,BOTH,,,,,,0,,,,,0,,,,,
119,BMT,CNR,1st Av,M,,,,BOTH,,,,,,0,,,,,0,1 Plat Stair/Platform,,,,
120,BMT,CNR,Bedford Av,BK,,,,,,,,,,0,,,,,0,,,,,
121,BMT,CNR,Lorimer St,BK,,,,,,,,,,0,,,,,0,Transfer passageway available from SB Plat,,,,
122,BMT,CNR,Graham Av,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
123,BMT,CNR,Grand St,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
124,BMT,CNR,Montrose Av,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
125,BMT,CNR,Morgan Av,BK,No,,,,,,1,,,1,,2,,,1,,,,,
126,BMT,CNR,Jefferson St,BK,,,,,,,,,,0,,,,,0,,,,,
127,BMT,CNR,DeKalb Av,BK,,,,,,,,,,0,,,,,0,,,,,
128,BMT,CNR,Myrtle Av,BK,,,,,,,,,,0,,,,,0,,,,,
129,BMT,CNR,Halsey St,BK,,,,,,,,,,0,,,,,0,,,,,
130,BMT,CNR,Wilson Av,BK,,,YES,,,,,,,0,,,,,0,"1 Street stair, shared landing - Plat Stairs",,,,
131,BMT,CNR,Bushwick Av,BK,,,YES,,,,,,,0,,,,,0,"1 Street stair, 1 Plat stair/Plat",,,,
132,BMT,CNR,Broadway Junction,BK,,,YES,,,,,,,0,,,,,0,REF MRN 92 for BWJ ,,,,
133,BMT,CNR,Atlantic Av,BK,No,,,,,,1,,,1,,3,,,1,Entire Platform closed/removed,,,,
134,BMT,CNR,Sutter Av,BK,No,,YES,,1,3,,,,3,,,,,4,"1 Plat Stair/Platform, 1 Street stair, control area mezz possibly removed entirely",,,,
135,BMT,CNR,Livonia Av,BK,,,,NB,,,,,,0,,,,,0,Exit Only Control Area for SB Plat,,,,
136,BMT,CNR,New Lots Av,BK,,,YES,,,,,,,0,,,,,0,"1 Plat Stair at NB Plat,",,,,
137,BMT,CNR,East 105th St,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair,,,,
138,BMT,CNR,Canarsie - Rockaway Parkway,BK,,,YES,,,,,,,0,,,,,0,,,,,
139,BMT,FRK,Franklin Av,BK,,,YES,,,,,,,0,,,,,0,Transfer passageway available ,,,,
140,,FRK,Dean St,BK,,,,,,,,,,0,,,,,0,,,,,
141,BMT,FRK,Park Place,BK,,,YES,,,,,,,0,,,,,0,,,,,
142,BMT,FRK,Botanic Garden,BK,,,YES,,,,,,,0,,,,,0,"Transfer available, 1 Plat Stair at SB Plat",,,,
143,IND,8AV,Inwood - 207th St,M,,,,,,,,,,0,,,,,0,,,,,
144,IND,8AV,Dyckman St-200th St,M,,,,BOTH,,,,,,0,,1,,,0,Closed Plat Stair serves underpass,,,,
145,IND,8AV,190th St,M,No,,,SB,,,1,,,1,,,,,1,"NB Plat has Exit Only Control area, Elevator Only to Interm. Mezz, 3 street stairs removed",,,,
146,IND,8AV,181st St,M,,,,,,,,,,0,,,,,0,,,,,
147,IND,8AV,175th St,M,Yes,,,,,,1,,,1,,,,,1,,,,,
148,IND,8AV,168th St - Washington Heights,M,Yes,,,,3,5,,,,5,,2,,,8,"2 exit-only control areas closed at south end of mezz; 4 closed street stairs at south end, 1 closed stair at N013A, Closed CA N013A",,,,
149,IND,8AV,163rd St - Amsterdam Av,M,No,,,,1,3,,,,3,,4,,,4,Closed CA N015,,,,
150,IND,8AV,155th St,M,No,,,,1,2,,,,2,,2,,,3,Closed CA converted to Employee Space,,,,
151,IND,8AV,145th St,M,No,,,,1,1,,,,1,,,,,2,Closed Street Stair for Police Access Only ,,,,
152,IND,8AV,135th St,M,,,,,,,,,,0,,,,,0,,,,,
153,IND,8AV,125th St,M,Yes,,,,2,4,,,,4,,,,,6,2 closed street stairs per closed CA,,,,
154,IND,8AV,116th St,M,No,,,BOTH,2,2,,,,2,,,,,4,"Closed CA N028,N027",,,,
155,IND,8AV,Cathedral Parkway-110th St,M,No,,,NB,3,3,,1,,4,,,1,,7,"Closed CA N032,N033,N031; underpass between platforms closed",,,,
156,IND,8AV,103rd St,M,No,,,,2,4,,,,4,,2,,,6,"Closed CA N038,N036, 2 closed street stairs per CA",,,,
157,IND,8AV,96th St,M,No,,,,1,2,,,,2,,1,,,3,Closed CA N041,,,,
158,IND,8AV,86th St,M,,,,,,,,,,0,,,,,0,,,,,
159,IND,8AV,81st St - Museum of Natural History,M,,,,,,,,,,0,,,,,0,,,,,
160,IND,8AV,72nd St,M,No,,,,1,1,,,,1,,1,,,2,Closed CA N046A,,,,
161,IND,8AV,59th St,M,Yes,,,,1,1,,,,1,,1,,,2,Closed stair to underpass,,,,
162,IND,8AV,50th St,M,Partial,Downtown Only ,,,4,7,,,,7,,5,0,,11,"two closed control areas per direction - 49th and 52nd n/b; 51St and 52nd s/b.  Closed CA N052-3 street stair closed, N053-2 street stair closed, N055-1 street stair closed,, N053-1 street stair closed",,,,
163,IND,8AV,42nd St,M,,,,,,,,,,0,,,,,0,,,,,
164,IND,8AV,34th St,M,,,,,,,,,,0,,,,,0,,,,,
165,IND,8AV,23rd St,M,,,,,,,,,,0,,,,,0,,,,,
166,IND,8AV,14th St,M,Yes,,,,1,2,,,,2,,,,,3,,,,,
167,IND,8AV,West 4th St,M,Yes,,,,2,4,1,,,5,,,,,7,"4 closed or slabbed over street stairs to lower mezzanine, assumed minimum of 2 CA closures",,,,
168,IND,8AV,Spring St,M,No,,,,2,5,1,,,6,,,1,,8,1 northern control area per platform closed - N84 and N85; northern underpass closed,,,,
169,IND,8AV,Canal St,M,No,,,,,,3,,,3,,,,,3,,,,,
170,IND,8AV,Chambers St,M,No,,,,,,1,,,1,,,,,1,,,,,
171,IND,8AV,World Trade Center,M,No*,In progress - developer project,,,,,1,,,1,,,,1,1,,,,,
172,IND,8AV,Fulton St,M,,,,,,,,,,0,,,,,0,,,,,
173,IND,8AV,High St,BK,No,,,,,,1,,,1,,,,,1,,,,,
174,IND,FUL,Jay St - MetroTech,BK,Yes,,,,,,2,,,2,,,,,2,,,,,
175,IND,FUL,Hoyt Schermerhorn,BK,No,,YES,,2,5,3,,,8,,2,2,1,10,"Hoyt St / west end control area closed-2 street stair closures, East Mezz has 3 street stair closures",,,,
176,IND,FUL,Lafayette Av,BK,,,,,,,,,,0,,,,,0,,,,,
177,IND,FUL,Clinton Washington Avs,BK,,,,,,,,,,0,,,,,0,,,,,
178,IND,FUL,Franklin Av,BK,Yes,,,BOTH,2,2,,,,2,,,,,4,"1 closed control area per platform at west / Classon Ave end of station, 1 stair closure per CA",,,,
179,IND,FUL,Nostrand Av,BK,No,,,BOTH,2,4,,,,4,,,,,6,"2 Closed CA Unlabeled, 2 street stairs closed per closed CA",,,,
180,IND,FUL,Kingston-Throop,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
181,IND,FUL,Utica Av,BK,,,,,,,,,,0,,,,,0,,,,,
182,IND,FUL,Ralph Av,BK,No,,YES,,1,2,1,,,3,,,,,4,eastern control area N121C closed,,,,
183,IND,FUL,Rockaway Av,BK,No,,,,,,2,,,2,,,,,2,,,,,
184,IND,FUL,Broadway Junction,BK,,,YES,,,,,,,0,,,,,0,"IND ONLY, 1 direct CA, other entry/egress avail through tranfser mezz/passageway",,,,
185,IND,FUL,Liberty Av,BK,,,YES,,,,,,,0,,,,,0,,,,,
186,IND,FUL,Van Siclen Av,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
187,IND,FUL,Shepherd Av,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
188,IND,FUL,Euclid Av,BK,,,YES,,,,,,,0,,,,,0,,,,,
189,IND,LIB,Grant Av,BK,,,YES,,,,,,,0,,,,,0,,,,,
190,IND,LIB,80th St-Hudson St,Q,,,,,,,,,,0,,,,,0,,,,,
191,IND,LIB,88th St-Boyd Av,Q,No,,YES,,1,2,,,,2,,,,,3,"western mezzanine is closed, stairs possibly removed",,,,
192,IND,LIB,Rockaway Blvd,Q,,,,,,,,,,0,,,,,0,,,,,
193,IND,LIB,104th St-Oxford Av,Q,No,,YES,,1,2,,,,2,,2,,,3,,,,,
194,IND,LIB,111th St-Greenwood Av,Q,,,,,,,,,,0,,,,,0,,,,,
195,IND,LIB,Lefferts Blvd,Q,,,,,,,,,,0,,,,,0,,,,,
196,IND,RKY,Race Track,Q,,,YES,,,,,,,0,,,,,0,,,,,
197,IND,RKY,Aqueduct-North Conduit Av,Q,,,,NB,,,,,,0,,1,1,,0,1 Plat Stair at NB Plat,,,,
198,IND,RKY,Howard Beach,Q,Yes,,,,1,,,,,0,,,,,1,Bus terminal closed with associated passageway and CA,,,,
199,IND,RKY,Broad Channel,Q,,,YES,,,,,,,0,,,,,0,"1 Plat Stair/Plat, 1 Street Stair",,,,
200,IND,RKY,Beach 90th St-Holland,Q,No,,YES,,1,1,,,,1,,,,,2,Street Stair (presumed CA) closed at 98 St,,,,
201,IND,RKY,Beach 98th St-Playland,Q,No,,YES,,2,2,,,,2,,,,,4,s/b plat - platfprm to street stairs at 97 St closed and at 101 St removed,,,,
202,IND,RKY,Beach 105th St-Seaside,Q,No,,YES,,1,1,,,,1,,,,,2,s/b plat - platfprm to street stair at 105 St closed,,,,
203,IND,RKY,Rockaway Park-Beach 116th,Q,,,YES,,,,,,,0,,,,,0,,,,,
204,IND,RKY,Beach 67th St-Gaston,Q,,,,NB,,,,,,0,,,,,0,,,,,
205,IND,RKY,Beach 60th St-Straiton,Q,,,,NB,,,,,,0,,,,,0,,,,,
206,IND,RKY,Beach 44th St-Frank Av,Q,,,YES,,,,,,,0,,,,,0,,,,,
207,IND,RKY,Beach 36th St-Edgemere,Q,,,YES,,,,,,,0,,,,,0,,,,,
208,IND,RKY,Beach 25th St-Wavecrest,Q,,,YES,,,,,,,0,,,,,0,,,,,
209,IND,RKY,Far Rockaway-Mott Av,Q,,,YES,,,,,,,0,,,,,0,,,,,
210,IND,BXC,Norwood-205th St,BX,,,,,,,,,,0,,,,,0,,,,,
211,IND,BXC,Bedford Park Blvd,BX,,,,,,,,,,0,,,,,0,,,,,
212,IND,BXC,Kingsbridge Rd,BX,Yes,,,,,,5,,,5,,,1,,5,,,,,
213,IND,BXC,Fordham Rd,BX,No,,,SB,1,2,,,,2,,,,,3,,,,,
